[INFO ] 2021-07-06 13:14:34,425 android.setup() - WhatsUpTests
[INFO ] 2021-07-06 13:14:56,125 android.clickOnMenuAndVerifyContent_CallsPage() - clickOnMenuAndVerifyContent_CallsPage 
[INFO ] 2021-07-06 13:15:03,068 android.clickOnMenuAndVerifyContent_ChatPage() - starting test clickOnMenuAndVerifyContent_ChatPage 
[INFO ] 2021-07-06 13:15:13,529 android.clickOnMenuAndVerifyContent_StatusPage() - clickOnMenuAndVerifyContent_StatusPage 
[INFO ] 2021-07-06 13:15:13,916 android.click_StatusText() - clicking to statusText STATUS
[INFO ] 2021-07-06 13:15:19,971 android.verifyCallsText() - starting test verifyCallsText 
[INFO ] 2021-07-06 13:15:22,548 android.click_StatusText() - clicking to statusText STATUS
[INFO ] 2021-07-06 13:15:24,939 android.getMyStatusText() - get text of my StatusMy status
[INFO ] 2021-07-06 13:15:25,986 android.verifyStatusText() - starting test verifyStatusText 
[INFO ] 2021-07-06 13:15:25,986 android.getTitleOfCurrentPage() - get text of current page
[INFO ] 2021-07-06 13:15:27,349 android.setup() - WhatsUpTests
[INFO ] 2021-07-06 13:15:38,972 android.clickOnSearchButton_CallsPage() - clickOnSearchButton_CallsPage 
[INFO ] 2021-07-06 13:15:42,997 android.clickOnSearchButtonFromCallsSectionAndTypeText() - clicking on statusIcon 
[INFO ] 2021-07-06 13:15:47,341 android.clickOnSearchButtonFromCallsSectionAndTypeText() - typing text into searchIconSearch…
[INFO ] 2021-07-06 13:16:03,650 android.clickOnSearchButton_ChatsPage() - clickOnSearchButton_ChatPage 
[INFO ] 2021-07-06 13:16:04,915 android.clickOnSearchButtonFromChatSectionAndTypeText() - clicking on statusIcon 
[INFO ] 2021-07-06 13:16:09,233 android.clickOnSearchButtonFromChatSectionAndTypeText() - typing text into searchIconSearch…
[ERROR] 2021-07-06 13:16:20,984 android.click() - click(): FAILED
Expected condition failed: waiting for element to be clickable: Located by By.chained({By.id: com.whatsapp:id/send}) (tried for 10 second(s) with 500 milliseconds interval)
[ERROR] 2021-07-06 13:16:32,086 android.click() - click(): FAILED
Expected condition failed: waiting for element to be clickable: Located by By.chained({By.id: com.whatsapp:id/send}) (tried for 10 second(s) with 500 milliseconds interval)
[INFO ] 2021-07-06 13:16:34,041 android.clickOnSearchButton_StatusPage() - clickOnSearchButton_StatusPage 
[INFO ] 2021-07-06 13:16:35,264 android.click_StatusText() - clicking to statusText STATUS
[INFO ] 2021-07-06 13:16:38,588 android.clickOnSearchButtonFromChatSectionAndTypeText() - clicking on statusIcon 
[INFO ] 2021-07-06 13:16:41,655 android.clickOnSearchButtonFromChatSectionAndTypeText() - typing text into searchIconSearch…
[ERROR] 2021-07-06 13:16:45,095 android.clickOnSearchButton_StatusPage() - java.lang.IndexOutOfBoundsException: Index: 0, Size: 0
[INFO ] 2021-07-06 13:16:46,283 android.setup() - WhatsUpTests
[INFO ] 2021-07-06 13:16:58,043 android.scrollTestDown() - verify scrolling to buttom works properly 
[INFO ] 2021-07-06 13:17:08,250 android.setup() - WhatsUpTests
[INFO ] 2021-07-06 13:17:20,588 android.clickOnContactAndSendMessage() - verify sending message works properly 
[INFO ] 2021-07-06 13:17:23,292 android.clickOnTypeMessage() - clicking on statusIcon Type a message
[INFO ] 2021-07-06 13:17:26,207 android.clickOnTypeMessage() - typing text into searchIconType a message
